long_name,age_15,overall_15,age_16,overall_16,age_17,overall_17,age_18,overall_18,age_19,overall_19,age_20,overall_20,current_player_name,player_position,current_club,age_21,overall_21,overall_average,overall_21_predicted,age_22,age_23,age_24,overall_22_predicted,overall_23_predicted,overall_24_predicted
Henry Chukwuemeka Onyekuru,,,,,19.0,64.0,20.0,75.0,21.0,76.0,22.0,78.0,H. Onyekuru,Forward,AS Monaco,23.0,77.0,77.5,77.72,24.0,25.0,26.0,77.9,78.15,78.44
José Manuel Arnáiz Díaz,,,,,21.0,64.0,22.0,71.0,23.0,70.0,24.0,70.0,José Arnáiz,Midfielder,CD Leganés,25.0,70.0,70.0,70.11,26.0,27.0,28.0,70.1,70.15,70.25
Achraf Hakimi Mouh,,,,,17.0,64.0,18.0,71.0,19.0,75.0,20.0,79.0,A. Hakimi,Midfielder,Inter,21.0,83.0,81.0,81.32,22.0,23.0,24.0,81.65,82.04,82.47
Pelle Clement,,,,,20.0,64.0,21.0,67.0,22.0,65.0,23.0,68.0,P. Clement,Forward,PEC Zwolle,24.0,67.0,67.5,67.64,25.0,26.0,27.0,67.63,67.69,67.79
Maximilian Dittgen,,,,,21.0,64.0,22.0,66.0,23.0,66.0,24.0,67.0,M. Dittgen,Forward,FC St. Pauli,25.0,67.0,67.0,67.1,26.0,27.0,28.0,67.05,67.06,67.11
Adriàn Dalmau Vaquer,,,,,22.0,64.0,23.0,64.0,24.0,68.0,25.0,72.0,Dalmau,Forward,FC Utrecht,26.0,69.0,70.5,70.57,27.0,28.0,29.0,70.53,70.55,70.61
小泉 庆,,,,,21.0,64.0,22.0,60.0,23.0,66.0,24.0,66.0,K. Koizumi,Defender,Kashima Antlers,25.0,66.0,66.0,66.1,26.0,27.0,28.0,66.04,66.04,66.08
Louis Samson,,,,,20.0,64.0,21.0,66.0,,,23.0,67.0,L. Samson,Defender,FC Erzgebirge Aue,24.0,67.0,67.0,67.14,25.0,26.0,27.0,67.13,67.18,67.27
Romain Bayard,,,,,22.0,64.0,23.0,65.0,,,25.0,68.0,R. Bayard,Midfielder,Pau FC,26.0,68.0,68.0,68.07,27.0,28.0,29.0,68.0,67.99,68.02
Carlos Acevedo López,,,,,20.0,64.0,21.0,64.0,22.0,70.0,23.0,70.0,C. Acevedo,Goalkeeper,Santos Laguna,24.0,73.0,71.5,71.66,25.0,26.0,27.0,71.72,71.84,72.0
Gyrano Kerk,,,,,20.0,64.0,21.0,70.0,22.0,71.0,23.0,73.0,G. Kerk,Forward,FC Utrecht,24.0,75.0,74.0,74.16,25.0,26.0,27.0,74.25,74.4,74.6
Dominique Badji,,,,,23.0,64.0,24.0,64.0,25.0,67.0,26.0,68.0,D. Badji,Forward,Nashville SC,27.0,66.0,67.0,67.04,28.0,29.0,30.0,66.93,66.88,66.87
Ghislain Konan,,,,,20.0,64.0,21.0,76.0,22.0,75.0,23.0,75.0,G. Konan,Defender,Stade de Reims,24.0,76.0,75.5,75.67,25.0,26.0,27.0,75.78,75.95,76.17
Aitor García Flores,,,,,22.0,64.0,23.0,68.0,24.0,70.0,25.0,70.0,Aitor García,Midfielder,Real Sporting de Gijón,26.0,72.0,71.0,71.07,27.0,28.0,29.0,71.04,71.07,71.14
Gilbert Koomson,,,,,21.0,64.0,22.0,68.0,23.0,69.0,24.0,68.0,G. Koomson,Forward,SK Brann,25.0,69.0,68.5,68.61,26.0,27.0,28.0,68.58,68.61,68.68
原川 力,,,,,22.0,64.0,23.0,66.0,24.0,66.0,25.0,67.0,R. Harakawa,Midfielder,Sagan Tosu,26.0,66.0,66.5,66.57,27.0,28.0,29.0,66.48,66.45,66.46
Julian Riedel,,,,,24.0,64.0,25.0,66.0,26.0,67.0,27.0,66.0,J. Riedel,Defender,FC Hansa Rostock,28.0,65.0,65.5,65.52,29.0,30.0,31.0,65.37,65.28,65.23
Sergio Herrera Pirón,,,,,23.0,64.0,24.0,71.0,25.0,72.0,26.0,72.0,Sergio Herrera,Goalkeeper,CA Osasuna,27.0,76.0,74.0,74.03,28.0,29.0,30.0,73.98,73.99,74.04
Sauli Aapo Kasperi Väisänen,,,,,22.0,64.0,23.0,69.0,24.0,68.0,25.0,68.0,S. Väisänen,Defender,Chievo Verona,26.0,67.0,67.5,67.57,27.0,28.0,29.0,67.49,67.47,67.49
山中 亮輔,,,,,23.0,64.0,24.0,63.0,25.0,64.0,26.0,67.0,R. Yamanaka,Defender,Urawa Red Diamonds,27.0,69.0,68.0,68.04,28.0,29.0,30.0,67.94,67.9,67.9
김민혁 金珉赫,,,,,24.0,64.0,25.0,67.0,26.0,68.0,27.0,68.0,Kim Min Hyeok,Defender,Jeonbuk Hyundai Motors,28.0,67.0,67.5,67.51,29.0,30.0,31.0,67.37,67.29,67.25
Jakob Glesnes,,,,,22.0,64.0,23.0,68.0,24.0,69.0,25.0,69.0,J. Glesnes,Defender,Philadelphia Union,26.0,68.0,68.5,68.57,27.0,28.0,29.0,68.51,68.51,68.55
Hendrik Van Crombrugge,,,,,23.0,64.0,24.0,70.0,25.0,72.0,26.0,73.0,H. Van Crombrugge,Goalkeeper,RSC Anderlecht,27.0,77.0,75.0,75.02,28.0,29.0,30.0,74.98,75.0,75.06
John Nolan,,,,,24.0,64.0,25.0,64.0,26.0,69.0,27.0,68.0,J. Nolan,Midfielder,Ipswich Town,28.0,65.0,66.5,66.51,29.0,30.0,31.0,66.36,66.27,66.22
Serdar Dursun,,,,,24.0,64.0,25.0,70.0,26.0,68.0,27.0,71.0,S. Dursun,Forward,SV Darmstadt 98,28.0,72.0,71.5,71.49,29.0,30.0,31.0,71.38,71.33,71.32
Guido Herrera,,,,,24.0,64.0,25.0,67.0,26.0,75.0,27.0,76.0,G. Herrera,Goalkeeper,Yeni Malatyaspor,28.0,75.0,75.5,75.47,29.0,30.0,31.0,75.39,75.37,75.39
José Kanté Martínez,,,,,25.0,64.0,26.0,65.0,27.0,68.0,28.0,69.0,José Kanté,Forward,Legia Warszawa,29.0,69.0,69.0,68.97,30.0,31.0,32.0,68.81,68.71,68.65
Nick Fitzgerald,,,,,24.0,64.0,25.0,65.0,26.0,66.0,27.0,61.0,N. Fitzgerald,Midfielder,Newcastle Jets,28.0,61.0,61.0,61.04,29.0,30.0,31.0,60.86,60.74,60.66
Reagy Baah Ofosu,,,,,24.0,64.0,,,,,27.0,65.0,R. Ofosu,Midfielder,FC Botoşani,28.0,68.0,66.5,66.51,29.0,30.0,31.0,66.36,66.27,66.22
Diego Martín Zabala Morales,,,,,24.0,64.0,25.0,66.0,26.0,69.0,27.0,73.0,D. Zabala,Midfielder,Rosario Central,28.0,73.0,73.0,72.99,29.0,30.0,31.0,72.89,72.85,72.85
Cristian Oscar Bernardi,,,,,26.0,64.0,27.0,65.0,28.0,72.0,29.0,72.0,C. Bernardi,Midfielder,Club Atlético Colón,30.0,70.0,71.0,70.92,31.0,32.0,33.0,70.74,70.62,70.54
顾超,,,,,26.0,64.0,,,28.0,64.0,29.0,68.0,Gu Chao,Goalkeeper,Jiangsu Suning FC,30.0,67.0,67.5,67.45,31.0,32.0,33.0,67.26,67.13,67.04
Blas Antonio Cáceres Garay,,,,,27.0,64.0,28.0,64.0,,,30.0,70.0,B. Cáceres,Midfielder,Club Libertad,31.0,70.0,70.0,69.9,32.0,33.0,34.0,69.68,69.52,69.4
蜂須賀 孝治,,,,,25.0,64.0,26.0,62.0,27.0,60.0,28.0,65.0,K. Hachisuka,Defender,Vegalta Sendai,29.0,69.0,67.0,66.98,30.0,31.0,32.0,66.81,66.7,66.63
丸山 祐市,,,,,27.0,64.0,28.0,65.0,29.0,66.0,30.0,67.0,Y. Maruyama,Defender,Nagoya Grampus,31.0,66.0,66.5,66.44,32.0,33.0,34.0,66.22,66.06,65.94
Luis Alejandro Paz Mulato,,,,,27.0,64.0,28.0,65.0,29.0,66.0,30.0,65.0,L. Paz,Midfielder,América de Cali,31.0,64.0,64.5,64.46,32.0,33.0,34.0,64.24,64.08,63.96
赵明剑,,,,,28.0,64.0,29.0,66.0,30.0,67.0,31.0,66.0,Zhao Mingjian,Defender,Shanghai Greenland Shenhua FC,32.0,67.0,66.5,66.42,33.0,34.0,35.0,66.18,66.0,65.86
David Pisot,,,,,28.0,64.0,29.0,68.0,30.0,69.0,31.0,69.0,D. Pisot,Defender,Karlsruher SC,32.0,68.0,68.5,68.39,33.0,34.0,35.0,68.15,67.97,67.83
Charles Dênis de Breito Catarino,,,,,24.0,64.0,25.0,64.0,,,31.0,69.0,Charles de Breito,Midfielder,Vasco da Gama,32.0,69.0,69.0,68.88,33.0,34.0,35.0,68.64,68.46,68.32
Adryan Juliano Zonta Torres,,,,,32.0,64.0,,,,,27.0,81.0,Adryan Zonta,Defender,São Paulo,28.0,81.0,81.0,80.93,29.0,30.0,31.0,80.87,80.87,80.91
Murilo Kauê Cadete Teixeira,,,,,32.0,64.0,,,,,19.0,75.0,Muo Cadete,Forward,Palmeiras,20.0,75.0,75.0,75.37,21.0,22.0,23.0,75.69,76.07,76.5
Matheus Jadson Bardeira Cunha,,,,,32.0,64.0,,,,,19.0,78.0,Matheus Bardeira,Forward,São Paulo,20.0,78.0,78.0,78.38,21.0,22.0,23.0,78.74,79.16,79.63
阿部 浩之,,,,,26.0,64.0,27.0,67.0,28.0,68.0,29.0,71.0,H. Abe,Midfielder,Nagoya Grampus,30.0,69.0,70.0,69.93,31.0,32.0,33.0,69.74,69.61,69.52
三原 雅俊,,,,,27.0,64.0,28.0,64.0,29.0,66.0,30.0,68.0,M. Mihara,Midfielder,Kashiwa Reysol,31.0,68.0,68.0,67.92,32.0,33.0,34.0,67.7,67.54,67.42
田中 亜土夢,,,,,28.0,64.0,29.0,67.0,30.0,66.0,31.0,64.0,A. Tanaka,Forward,HJK Helsinki,32.0,65.0,64.5,64.45,33.0,34.0,35.0,64.22,64.05,63.92
Mitchell van Bergen,,,,,16.0,63.0,17.0,64.0,18.0,64.0,19.0,70.0,M. van Bergen,Forward,SC Heerenveen,20.0,74.0,72.0,72.35,21.0,22.0,23.0,72.61,72.94,73.31
Rafael Mir Vicente,,,,,18.0,63.0,19.0,66.0,21.0,67.0,22.0,71.0,Rafa Mir,Midfielder,SD Huesca,23.0,70.0,70.5,70.7,24.0,25.0,26.0,70.79,70.94,71.13
Đorđe Nikolić,,,,,19.0,63.0,,,,,22.0,65.0,D. Nikolić,Goalkeeper,FC Basel 1893,23.0,65.0,65.0,65.16,24.0,25.0,26.0,65.14,65.18,65.27
Regan Poole,,,,,18.0,63.0,19.0,64.0,,,21.0,64.0,R. Poole,Defender,Milton Keynes Dons,22.0,63.0,63.5,63.67,23.0,24.0,25.0,63.65,63.69,63.78
Justin Bijlow,,,,,18.0,63.0,19.0,67.0,20.0,72.0,21.0,74.0,J. Bijlow,Goalkeeper,Feyenoord,22.0,76.0,75.0,75.27,23.0,24.0,25.0,75.48,75.75,76.07
Houssem Aouar,,,,,18.0,63.0,19.0,67.0,20.0,78.0,21.0,81.0,H. Aouar,Midfielder,Olympique Lyonnais,22.0,81.0,81.0,81.26,23.0,24.0,25.0,81.53,81.86,82.23
Maxime D'Arpino,,,,,20.0,63.0,21.0,64.0,22.0,65.0,23.0,64.0,M. D'Arpino,Midfielder,KV Oostende,24.0,66.0,65.0,65.13,25.0,26.0,27.0,65.08,65.09,65.14
Ianis Hagi,,,,,17.0,63.0,18.0,63.0,,,20.0,74.0,I. Hagi,Midfielder,Rangers FC,21.0,73.0,73.5,73.81,22.0,23.0,24.0,74.05,74.35,74.7
Eduardo Expósito Jaén,,,,,19.0,63.0,20.0,69.0,21.0,69.0,22.0,76.0,Edu Expósito,Midfielder,SD Eibar,23.0,76.0,76.0,76.22,24.0,25.0,26.0,76.39,76.62,76.89
Santiago Colombatto,,,,,19.0,63.0,20.0,65.0,21.0,68.0,22.0,68.0,S. Colombatto,Midfielder,Sint-Truidense VV,23.0,68.0,68.0,68.18,24.0,25.0,26.0,68.22,68.32,68.47
Eduar Hernán Caicedo Solís,,,,,21.0,63.0,22.0,63.0,23.0,66.0,24.0,65.0,E. Caicedo,Defender,Deportivo Cali,25.0,63.0,64.0,64.09,26.0,27.0,28.0,64.0,63.97,63.98
Miloš Veljković,,,,,20.0,63.0,21.0,73.0,22.0,76.0,23.0,75.0,M. Veljković,Defender,SV Werder Bremen,24.0,73.0,74.0,74.16,25.0,26.0,27.0,74.25,74.4,74.6
Mikael Uhre,,,,,21.0,63.0,22.0,66.0,23.0,64.0,24.0,66.0,M. Uhre,Forward,Brøndby IF,25.0,66.0,66.0,66.1,26.0,27.0,28.0,66.04,66.04,66.08
Kangni Frederic Ananou,,,,,18.0,63.0,19.0,67.0,20.0,65.0,21.0,66.0,F. Ananou,Defender,SC Paderborn 07,22.0,67.0,66.5,66.71,23.0,24.0,25.0,66.76,66.87,67.03
三竿 健斗,,,,,20.0,63.0,21.0,67.0,22.0,68.0,23.0,69.0,K. Misao,Midfielder,Kashima Antlers,24.0,71.0,70.0,70.15,25.0,26.0,27.0,70.19,70.29,70.43
José Ángel Carrillo Casamayor,,,,,22.0,63.0,23.0,67.0,24.0,68.0,25.0,65.0,Carrillo,Forward,CD Lugo,26.0,65.0,65.0,65.07,27.0,28.0,29.0,64.96,64.91,64.9
Joseba Muguruza Bengoa,,,,,22.0,63.0,23.0,63.0,,,25.0,65.0,Muguruza,Defender,C.D. Castellón,26.0,65.0,65.0,65.07,27.0,28.0,29.0,64.96,64.91,64.9
Jorge Enrique Flores Yrahory,,,,,22.0,63.0,23.0,63.0,,,25.0,64.0,J. Flores,Defender,Club Bolívar,26.0,64.0,64.0,64.07,27.0,28.0,29.0,63.95,63.89,63.87
Benito Ramírez del Toro,,,,,20.0,63.0,21.0,66.0,22.0,67.0,23.0,69.0,Benito,Midfielder,UD Las Palmas,24.0,69.0,69.0,69.15,25.0,26.0,27.0,69.17,69.25,69.37
Ander Cantero Armendáriz,,,,,21.0,63.0,22.0,63.0,23.0,63.0,24.0,64.0,Cantero,Goalkeeper,CD Lugo,25.0,69.0,66.5,66.6,26.0,27.0,28.0,66.54,66.54,66.58
Luis Alfonso Abram Ugarelli,,,,,20.0,63.0,21.0,63.0,22.0,69.0,23.0,72.0,L. Abram,Defender,Vélez Sarsfield,24.0,72.0,72.0,72.16,25.0,26.0,27.0,72.23,72.36,72.53
Manuel Lazzari,,,,,22.0,63.0,23.0,73.0,24.0,76.0,25.0,80.0,M. Lazzari,Midfielder,Lazio,26.0,81.0,80.5,80.54,27.0,28.0,29.0,80.58,80.68,80.82
Freddie Ladapo,,,,,23.0,63.0,24.0,62.0,25.0,63.0,26.0,66.0,F. Ladapo,Forward,Rotherham United,27.0,67.0,66.5,66.54,28.0,29.0,30.0,66.42,66.36,66.34
Ken Sema,,,,,22.0,63.0,23.0,69.0,24.0,71.0,25.0,72.0,K. Sema,Midfielder,Watford,26.0,73.0,72.5,72.57,27.0,28.0,29.0,72.55,72.59,72.67
Julián Rodrigo Fernández,,,,,21.0,63.0,,,23.0,67.0,24.0,68.0,J. Fernández,Midfielder,Newell's Old Boys,25.0,70.0,69.0,69.11,26.0,27.0,28.0,69.09,69.13,69.21
Mauro Wilney Arambarri Rosa,,,,,20.0,63.0,21.0,69.0,22.0,76.0,23.0,77.0,M. Arambarri,Midfielder,Getafe CF,24.0,80.0,78.5,78.66,25.0,26.0,27.0,78.8,79.0,79.24
Wolke Janssens,,,,,20.0,63.0,,,22.0,64.0,23.0,64.0,W. Janssens,Defender,Sint-Truidense VV,24.0,65.0,64.5,64.62,25.0,26.0,27.0,64.56,64.56,64.6
김민태 金眠泰,,,,,22.0,63.0,23.0,64.0,24.0,61.0,25.0,66.0,Kim Min Tae,Defender,Hokkaido Consadole Sapporo,26.0,68.0,67.0,67.07,27.0,28.0,29.0,66.99,66.97,66.99
Nikolai Alho,,,,,23.0,63.0,24.0,64.0,25.0,63.0,26.0,63.0,N. Alho,Defender,HJK Helsinki,27.0,65.0,64.0,64.05,28.0,29.0,30.0,63.91,63.83,63.79
Lucas Höler,,,,,21.0,63.0,22.0,68.0,23.0,71.0,24.0,72.0,L. Höler,Forward,SC Freiburg,25.0,71.0,71.5,71.61,26.0,27.0,28.0,71.62,71.7,71.82
Willian Benito Candia Garay,,,,,23.0,63.0,,,,,26.0,63.0,W. Candia,Midfielder,Olimpia Asunción,27.0,63.0,63.0,63.05,28.0,29.0,30.0,62.9,62.81,62.76
Ezgjan Alioski,,,,,24.0,63.0,25.0,72.0,26.0,72.0,27.0,71.0,E. Alioski,Midfielder,Leeds United,28.0,73.0,72.0,71.99,29.0,30.0,31.0,71.88,71.83,71.82
Benjamin Kololli,,,,,24.0,63.0,25.0,63.0,26.0,68.0,27.0,71.0,B. Kololli,Forward,FC Zürich,28.0,70.0,70.5,70.5,29.0,30.0,31.0,70.38,70.32,70.3
Steven Peter Ugarković,,,,,21.0,63.0,22.0,64.0,23.0,68.0,24.0,66.0,S. Ugarković,Midfielder,Newcastle Jets,25.0,68.0,67.0,67.1,26.0,27.0,28.0,67.05,67.06,67.11
岡本 拓也,,,,,24.0,63.0,,,26.0,63.0,27.0,63.0,T. Okamoto,Midfielder,Shonan Bellmare,28.0,65.0,64.0,64.02,29.0,30.0,31.0,63.86,63.76,63.7
稻垣 祥,,,,,24.0,63.0,25.0,64.0,26.0,65.0,27.0,65.0,S. Inagaki,Midfielder,Nagoya Grampus,28.0,68.0,66.5,66.51,29.0,30.0,31.0,66.36,66.27,66.22
Paulo Fabián Lima Simoes,,,,,24.0,63.0,,,,,27.0,62.0,P. Lima,Defender,Sportivo Luqueño,28.0,62.0,62.0,62.03,29.0,30.0,31.0,61.86,61.75,61.68
Kevin Luckassen,,,,,22.0,63.0,,,,,25.0,61.0,K. Luckassen,Forward,FC Viitorul,26.0,61.0,61.0,61.07,27.0,28.0,29.0,60.92,60.83,60.78
Leonel Di Plácido,,,,,22.0,63.0,23.0,70.0,24.0,71.0,25.0,71.0,L. Di Plácido,Defender,Club Atlético Lanús,26.0,72.0,71.5,71.57,27.0,28.0,29.0,71.54,71.57,71.64
三田 啓貴,,,,,25.0,63.0,26.0,62.0,27.0,63.0,28.0,67.0,H. Mita,Midfielder,FC Tokyo,29.0,68.0,67.5,67.48,30.0,31.0,32.0,67.31,67.2,67.13
Carlos Alberto Cáceda Oyaguez,,,,,24.0,63.0,,,26.0,69.0,27.0,69.0,C. Cáceda,Goalkeeper,Melgar FBC,28.0,71.0,70.0,70.0,29.0,30.0,31.0,69.88,69.82,69.8
Rafał Pietrzak,,,,,24.0,63.0,25.0,63.0,26.0,63.0,27.0,66.0,R. Pietrzak,Defender,Lechia Gdańsk,28.0,66.0,66.0,66.01,29.0,30.0,31.0,65.86,65.77,65.72
Zinedine Ferhat,,,,,23.0,63.0,24.0,69.0,25.0,74.0,26.0,74.0,Z. Ferhat,Midfielder,Nîmes Olympique,27.0,75.0,74.5,74.52,28.0,29.0,30.0,74.48,74.5,74.56
Alexandre Oukidja,,,,,27.0,63.0,28.0,68.0,29.0,71.0,30.0,73.0,A. Oukidja,Goalkeeper,FC Metz,31.0,76.0,74.5,74.35,32.0,33.0,34.0,74.14,73.99,73.88
吉田 豐,,,,,26.0,63.0,27.0,67.0,28.0,68.0,29.0,67.0,Y. Yoshida,Defender,Nagoya Grampus,30.0,69.0,68.0,67.95,31.0,32.0,33.0,67.76,67.63,67.54
Guillaume Heinry,,,,,26.0,63.0,27.0,66.0,,,29.0,65.0,G. Heinry,Midfielder,FC Chambly Oise,30.0,64.0,64.5,64.48,31.0,32.0,33.0,64.28,64.14,64.04
Iván Arturo Torres Riveros,,,,,25.0,63.0,,,,,28.0,66.0,I. Torres,Defender,Olimpia Asunción,29.0,68.0,67.0,66.98,30.0,31.0,32.0,66.81,66.7,66.63
林 昭大,,,,,29.0,63.0,30.0,66.0,31.0,68.0,32.0,70.0,A. Hayashi,Goalkeeper,FC Tokyo,33.0,72.0,71.0,70.83,34.0,35.0,36.0,70.55,70.33,70.15
Daniel Clayton Fachini Lobato,,,,,32.0,63.0,33.0,63.0,,,31.0,75.0,Danisco Fachini,Midfielder,Flamengo,32.0,75.0,75.0,74.81,33.0,34.0,35.0,74.56,74.37,74.22
Pedro Márcio Sousenha Botelho,,,,,28.0,63.0,,,,,19.0,66.0,Pedro Sousenha,Midfielder,Oceânico FC,20.0,66.0,66.0,66.27,21.0,22.0,23.0,66.38,66.56,66.78
Murilo Kaíque Sanches Cardoso,,,,,32.0,63.0,,,,,31.0,74.0,Murilo Sancha,Midfielder,Vasco da Gama,32.0,74.0,74.0,73.82,33.0,34.0,35.0,73.57,73.38,73.23
Rodolfo Dilson Pitta Fonseca,,,,,28.0,63.0,,,,,19.0,73.0,Rodolfo Pittaça,Forward,Vasco da Gama,20.0,73.0,73.0,73.36,21.0,22.0,23.0,73.64,73.99,74.38
饭仓 大樹,,,,,30.0,63.0,31.0,66.0,32.0,66.0,33.0,66.0,H. Iikura,Goalkeeper,Vissel Kobe,34.0,65.0,65.5,65.4,35.0,36.0,37.0,65.14,64.94,64.78
藤田 直之,,,,,29.0,63.0,30.0,62.0,31.0,62.0,32.0,67.0,N. Fujita,Midfielder,Cerezo Osaka,33.0,70.0,68.5,68.37,34.0,35.0,36.0,68.1,67.89,67.72
Alan Jonathan Besseiro Rosa,,,,,32.0,63.0,,,,,27.0,66.0,Alan Besseiro,Defender,Oceânico FC,28.0,66.0,66.0,66.01,29.0,30.0,31.0,65.86,65.77,65.72
Federico Pérez Silvera,,,,,30.0,63.0,,,,,33.0,67.0,F. Pérez,Defender,Club Plaza Colonia,34.0,67.0,67.0,66.87,35.0,36.0,37.0,66.59,66.37,66.2
Andre Dozzell,,,,,17.0,62.0,18.0,64.0,19.0,64.0,20.0,65.0,A. Dozzell,Midfielder,Ipswich Town,21.0,63.0,64.0,64.21,22.0,23.0,24.0,64.24,64.33,64.46
Jean-Philippe Mateta,,,,,19.0,62.0,20.0,62.0,21.0,71.0,22.0,78.0,J. Mateta,Forward,1. FSV Mainz 05,23.0,76.0,77.0,77.22,24.0,25.0,26.0,77.4,77.64,77.92
Emil Hansson,,,,,17.0,62.0,18.0,64.0,,,20.0,68.0,E. Hansson,Midfielder,Fortuna Sittard,22.0,69.0,68.5,68.72,23.0,24.0,25.0,68.81,68.97,69.17
Matt Butcher,,,,,19.0,62.0,20.0,62.0,21.0,61.0,22.0,60.0,M. Butcher,Midfielder,Accrington Stanley,23.0,59.0,59.5,59.61,24.0,25.0,26.0,59.49,59.43,59.41
Maxence André Prévôt,,,,,19.0,62.0,20.0,66.0,21.0,67.0,22.0,68.0,M. Prévot,Goalkeeper,FC Sochaux-Montbéliard,23.0,68.0,68.0,68.18,24.0,25.0,26.0,68.22,68.32,68.47
Sherel Floranus,,,,,17.0,62.0,18.0,66.0,19.0,66.0,20.0,64.0,S. Floranus,Defender,SC Heerenveen,21.0,69.0,66.5,66.74,22.0,23.0,24.0,66.83,66.98,67.18
황희찬 黄喜灿,,,,,20.0,62.0,21.0,68.0,22.0,72.0,23.0,71.0,Hwang Hee Chan,Forward,RB Leipzig,24.0,77.0,74.0,74.16,25.0,26.0,27.0,74.25,74.4,74.6
Bautista Merlini,,,,,20.0,62.0,21.0,68.0,22.0,68.0,23.0,68.0,B. Merlini,Forward,Club Guaraní,24.0,68.0,68.0,68.14,25.0,26.0,27.0,68.14,68.2,68.31
Ramon Pascal Lundqvist,,,,,19.0,62.0,20.0,67.0,21.0,66.0,22.0,67.0,R. Lundqvist,Midfielder,FC Groningen,23.0,67.0,67.0,67.17,24.0,25.0,26.0,67.19,67.27,67.4
Alessandro Murgia,,,,,19.0,62.0,20.0,68.0,21.0,72.0,22.0,72.0,A. Murgia,Midfielder,SPAL,23.0,71.0,71.5,71.7,24.0,25.0,26.0,71.8,71.97,72.18
鈴木 優磨,,,,,20.0,62.0,21.0,67.0,22.0,69.0,23.0,72.0,Y. Suzuki,Forward,Sint-Truidense VV,24.0,70.0,71.0,71.16,25.0,26.0,27.0,71.21,71.32,71.47
Fedor Chalov,,,,,18.0,62.0,19.0,70.0,20.0,69.0,21.0,76.0,F. Chalov,Forward,PFC CSKA Moscow,22.0,74.0,75.0,75.27,23.0,24.0,25.0,75.48,75.75,76.07
Zelimkhan Bakaev,,,,,20.0,62.0,21.0,62.0,,,23.0,71.0,Z. Bakaev,Midfielder,Spartak Moscow,24.0,75.0,73.0,73.16,25.0,26.0,27.0,73.24,73.38,73.56
Iván Alejo Peralta,,,,,21.0,62.0,22.0,70.0,23.0,76.0,24.0,74.0,Iván Alejo,Midfielder,Cádiz CF,25.0,74.0,74.0,74.12,26.0,27.0,28.0,74.16,74.27,74.42
Mathias Honsak,,,,,19.0,62.0,20.0,65.0,21.0,65.0,22.0,68.0,M. Honsak,Midfielder,SV Darmstadt 98,23.0,68.0,68.0,68.18,24.0,25.0,26.0,68.22,68.32,68.47
Marcel Hartel,,,,,20.0,62.0,21.0,65.0,22.0,69.0,23.0,69.0,M. Hartel,Midfielder,DSC Arminia Bielefeld,24.0,72.0,70.5,70.65,25.0,26.0,27.0,70.69,70.79,70.94
Julián Andrés Quiñones Quiñones,,,,,19.0,62.0,20.0,66.0,21.0,71.0,22.0,71.0,J. Quiñones,Midfielder,Tigres U.A.N.L.,23.0,71.0,71.0,71.2,24.0,25.0,26.0,71.3,71.46,71.66
Yoane Wissa,,,,,19.0,62.0,20.0,64.0,21.0,70.0,22.0,67.0,Y. Wissa,Midfielder,FC Lorient,23.0,71.0,69.0,69.19,24.0,25.0,26.0,69.25,69.37,69.54
Iván Mauricio Arboleda,,,,,20.0,62.0,21.0,63.0,22.0,72.0,23.0,73.0,I. Arboleda,Goalkeeper,Club Atlético Banfield,24.0,73.0,73.0,73.16,25.0,26.0,27.0,73.24,73.38,73.56
Glenn Bijl,,,,,20.0,62.0,,,22.0,64.0,23.0,68.0,G. Bijl,Defender,FC Emmen,24.0,72.0,70.0,70.15,25.0,26.0,27.0,70.19,70.29,70.43
Joe Ward,,,,,19.0,62.0,,,22.0,64.0,23.0,65.0,J. Ward,Defender,Peterborough United,24.0,64.0,64.5,64.62,25.0,26.0,27.0,64.56,64.56,64.6
Guus Til,,,,,18.0,62.0,19.0,68.0,20.0,75.0,21.0,75.0,G. Til,Midfielder,SC Freiburg,22.0,74.0,74.5,74.76,23.0,24.0,25.0,74.96,75.22,75.53
Mateus dos Santos Castro,,,,,21.0,62.0,22.0,62.0,,,24.0,65.0,Mateus,Midfielder,Nagoya Grampus,25.0,68.0,66.5,66.6,26.0,27.0,28.0,66.54,66.54,66.58
Leandro Isaac Maciel,,,,,20.0,62.0,21.0,64.0,22.0,67.0,23.0,69.0,L. Maciel,Midfielder,Club Atlético Aldosivi,24.0,68.0,68.5,68.65,25.0,26.0,27.0,68.66,68.73,68.84
Andreias Cristian Calcan,,,,,22.0,62.0,,,,,25.0,64.0,A. Calcan,Forward,Politehnica Iaşi,26.0,65.0,64.5,64.57,27.0,28.0,29.0,64.46,64.41,64.4
Fabian Herbers,,,,,22.0,62.0,23.0,67.0,24.0,66.0,25.0,65.0,F. Herbers,Midfielder,Chicago Fire,26.0,65.0,65.0,65.07,27.0,28.0,29.0,64.96,64.91,64.9
Vladislavs Gutkovskis,,,,,21.0,62.0,22.0,67.0,,,24.0,63.0,V. Gutkovskis,Forward,Raków Częstochowa,25.0,63.0,63.0,63.09,26.0,27.0,28.0,62.98,62.93,62.92
Isaac Sackey,,,,,22.0,62.0,23.0,67.0,24.0,69.0,25.0,69.0,I. Sackey,Midfielder,Hatayspor,26.0,69.0,69.0,69.07,27.0,28.0,29.0,69.01,69.01,69.05
